		Grönsaker			
		Ris			
	Bún nem	90 kr			
		Vårrullar	Friterade		
		Kött			
		Nudlar			
		Sallad			
		Fisksås			
	Bún nem	90 kr	Vegetarisk		
		Vårrullar	Friterade		
		Nudlar			
		Sallad			
		Fisksås			
	Bún thịt nướng	90 kr			
		Fläskkarré	Grillad		
		Nudlar			
		Sallad			
		Fisksås			
	Mangopannacotta	40 kr			
		Pannacotta			
		Mango			
VIP Melanders fisk	Calamares fritos 11-2012 - juantiagues.jpg	#631304	#4F0F03	<a href="https://www.flickr.com/people/14058263@N06">juantiagues from Pontevedra, España</a>	<a href="https://creativecommons.org/licenses/by-sa/2.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;2.0</a>
	Friterad torsktunga med remoulad	55 kr			
		Torsk	Friterad		
		Remoulad			
	Pommes med aioli	40 kr			
		Pommes			
		Aioli			
	Nystekt strömming	60 kr			
		Strömming			
		Knäckebröd			
	Räkcocktail	65 kr			
		Nobisdressing			
	Fish n chips	90 kr			
		Torsk	MSC-märkt		
	Bläckfisk	80 kr	Egenpanerad		
		Pommes			
		Aioli			
	Viltköttbullar	85 kr			
		Köttbullar	Vilt		
		Mos			
		Lingon			
	Skagenröra i baguette	100 kr			
		Skagenröra			
		Baguette			
	Inkokt lax	100 kr			
		Lax			
		Potatissallad	Dragon		
Melanders Fisk – A la carte	Curingsalmon.jpg	#631304	#4F0F03	<a href="https://commons.wikimedia.org/wiki/User:Myrtti">Miia Ranta</a>	<a href="https://creativecommons.org/licenses/by-sa/2.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;2.0</a>
	Gubbröra på knäcke,	98 kr			
		Gubbröra			
		Knäckebröd			
	Calvisius caviar classic 10 gr & 1 glas Taittinger	255 kr			
		Caviar			
		Tattinger			
	Toast Skagen	165 kr			
	Torsk	175 kr	Friterad		
		Remouladsås			
		Pommes			
	Moules Frites	180 kr			
	Viltköttbullar	180 kr			
		Köttbullar	Vilt		
		Gräddsås			
		Färskpotatis			
		Rårörda lingon			
	Rimmad lax med dillstuvad potatis	190 kr			
		Lax	Rimmad		
		Potatis	Stuvning		
		Dill			
	Näve räkor med tillbehör	195 kr			
		Räkor			
	Halv Amerikansk hummer med tillbehör	195 kr			
		Amerikansk hummer	Halv		
	Torsk	240 kr	Västerhavet		
		Torsk	Kokt		
		Smör			
		Pepparrot			
	Delikatesstallrik	270 kr			
	Skaldjursplateau	450 kr			
	Ostron Fine de clair	25 kr/st	Frankrike		
		Ostron			
	Ostron Ostra Regal	28 kr/st	Frankrike		
		Ostron			
	Ostron Gillardeau	33 kr/st	Frankrike		
		Ostron			
	Ostron Belon	45 kr/st	Sverige		
		Ostron			
	Färska Jordgubbar	75 kr			
		Jordgubbar			
		Socker	Lime		
